nohup: ignoring input
Using device: cuda
[Seed=101] Epoch 1/40 => train_loss=4.4272, val_loss=4.2011
[Seed=101] Epoch 2/40 => train_loss=4.0513, val_loss=3.5017
[Seed=101] Epoch 3/40 => train_loss=1.1437, val_loss=0.2944
[Seed=101] Epoch 4/40 => train_loss=0.3377, val_loss=0.2908
[Seed=101] Epoch 5/40 => train_loss=0.3145, val_loss=0.2894
[Seed=101] Epoch 6/40 => train_loss=0.3035, val_loss=0.2891
[Seed=101] Epoch 7/40 => train_loss=0.3002, val_loss=0.2885
[Seed=101] Epoch 8/40 => train_loss=0.2973, val_loss=0.2888
[Seed=101] Epoch 9/40 => train_loss=0.2954, val_loss=0.2883
[Seed=101] Epoch 10/40 => train_loss=0.2941, val_loss=0.2888
[Seed=101] Epoch 11/40 => train_loss=0.2936, val_loss=0.2883
[Seed=101] Epoch 12/40 => train_loss=0.2926, val_loss=0.2884
[Seed=101] Epoch 13/40 => train_loss=0.2926, val_loss=0.2885
[Seed=101] Epoch 14/40 => train_loss=0.2914, val_loss=0.2882
[Seed=101] Epoch 15/40 => train_loss=0.2921, val_loss=0.2885
[Seed=101] Epoch 16/40 => train_loss=0.2900, val_loss=0.2881
[Seed=101] Epoch 17/40 => train_loss=0.2895, val_loss=0.2882
[Seed=101] Epoch 18/40 => train_loss=0.2909, val_loss=0.2883
[Seed=101] Epoch 19/40 => train_loss=0.2903, val_loss=0.2881
[Seed=101] Epoch 20/40 => train_loss=0.2903, val_loss=0.2882
[Seed=101] Epoch 21/40 => train_loss=0.2893, val_loss=0.2882
[Seed=101] Epoch 22/40 => train_loss=0.2900, val_loss=0.2880
[Seed=101] Epoch 23/40 => train_loss=0.2885, val_loss=0.2882
[Seed=101] Epoch 24/40 => train_loss=0.2898, val_loss=0.2882
[Seed=101] Epoch 25/40 => train_loss=0.2891, val_loss=0.2881
[Seed=101] Epoch 26/40 => train_loss=0.2892, val_loss=0.2881
[Seed=101] Epoch 27/40 => train_loss=0.2889, val_loss=0.2882
[Seed=101] Epoch 28/40 => train_loss=0.2891, val_loss=0.2880
[Seed=101] Epoch 29/40 => train_loss=0.2882, val_loss=0.2881
[Seed=101] Epoch 30/40 => train_loss=0.2889, val_loss=0.2880
[Seed=101] Epoch 31/40 => train_loss=0.2885, val_loss=0.2881
[Seed=101] Epoch 32/40 => train_loss=0.2879, val_loss=0.2880
[Seed=101] Epoch 33/40 => train_loss=0.2886, val_loss=0.2883
[Seed=101] Epoch 34/40 => train_loss=0.2887, val_loss=0.2881
[Seed=101] Epoch 35/40 => train_loss=0.2882, val_loss=0.2880
[Seed=101] Epoch 36/40 => train_loss=0.2880, val_loss=0.2882
[Seed=101] Epoch 37/40 => train_loss=0.2885, val_loss=0.2880
[Seed=101] Epoch 38/40 => train_loss=0.2877, val_loss=0.2880
[Seed=101] Epoch 39/40 => train_loss=0.2885, val_loss=0.2883
[Seed=101] Epoch 40/40 => train_loss=0.2879, val_loss=0.2881
[Seed=23] Epoch 1/40 => train_loss=4.4164, val_loss=4.1632
[Seed=23] Epoch 2/40 => train_loss=4.0029, val_loss=3.1488
[Seed=23] Epoch 3/40 => train_loss=1.1593, val_loss=0.3801
[Seed=23] Epoch 4/40 => train_loss=0.4881, val_loss=0.3141
[Seed=23] Epoch 5/40 => train_loss=0.3707, val_loss=0.2911
[Seed=23] Epoch 6/40 => train_loss=0.3271, val_loss=0.2895
[Seed=23] Epoch 7/40 => train_loss=0.3121, val_loss=0.2887
[Seed=23] Epoch 8/40 => train_loss=0.3047, val_loss=0.2887
[Seed=23] Epoch 9/40 => train_loss=0.3022, val_loss=0.2882
[Seed=23] Epoch 10/40 => train_loss=0.2964, val_loss=0.2885
[Seed=23] Epoch 11/40 => train_loss=0.2964, val_loss=0.2884
[Seed=23] Epoch 12/40 => train_loss=0.2938, val_loss=0.2882
[Seed=23] Epoch 13/40 => train_loss=0.2944, val_loss=0.2883
[Seed=23] Epoch 14/40 => train_loss=0.2918, val_loss=0.2884
[Seed=23] Epoch 15/40 => train_loss=0.2923, val_loss=0.2882
[Seed=23] Epoch 16/40 => train_loss=0.2920, val_loss=0.2880
[Seed=23] Epoch 17/40 => train_loss=0.2903, val_loss=0.2883
[Seed=23] Epoch 18/40 => train_loss=0.2911, val_loss=0.2881
[Seed=23] Epoch 19/40 => train_loss=0.2901, val_loss=0.2881
[Seed=23] Epoch 20/40 => train_loss=0.2897, val_loss=0.2881
[Seed=23] Epoch 21/40 => train_loss=0.2900, val_loss=0.2881
[Seed=23] Epoch 22/40 => train_loss=0.2902, val_loss=0.2881
[Seed=23] Epoch 23/40 => train_loss=0.2893, val_loss=0.2881
[Seed=23] Epoch 24/40 => train_loss=0.2899, val_loss=0.2880
[Seed=23] Epoch 25/40 => train_loss=0.2883, val_loss=0.2881
[Seed=23] Epoch 26/40 => train_loss=0.2891, val_loss=0.2882
[Seed=23] Epoch 27/40 => train_loss=0.2889, val_loss=0.2881
[Seed=23] Epoch 28/40 => train_loss=0.2882, val_loss=0.2881
[Seed=23] Epoch 29/40 => train_loss=0.2892, val_loss=0.2882
[Seed=23] Epoch 30/40 => train_loss=0.2883, val_loss=0.2881
[Seed=23] Epoch 31/40 => train_loss=0.2889, val_loss=0.2883
[Seed=23] Epoch 32/40 => train_loss=0.2880, val_loss=0.2882
[Seed=23] Epoch 33/40 => train_loss=0.2885, val_loss=0.2882
[Seed=23] Epoch 34/40 => train_loss=0.2877, val_loss=0.2883
[Seed=23] Epoch 35/40 => train_loss=0.2883, val_loss=0.2887
[Seed=23] Epoch 36/40 => train_loss=0.2880, val_loss=0.2885
[Seed=23] Epoch 37/40 => train_loss=0.2874, val_loss=0.2883
[Seed=23] Epoch 38/40 => train_loss=0.2874, val_loss=0.2886
[Seed=23] Epoch 39/40 => train_loss=0.2871, val_loss=0.2888
[Seed=23] Epoch 40/40 => train_loss=0.2876, val_loss=0.2885
[Seed=245] Epoch 1/40 => train_loss=4.4195, val_loss=4.1874
[Seed=245] Epoch 2/40 => train_loss=4.0959, val_loss=3.8377
[Seed=245] Epoch 3/40 => train_loss=1.8739, val_loss=0.3825
[Seed=245] Epoch 4/40 => train_loss=0.4460, val_loss=0.2951
[Seed=245] Epoch 5/40 => train_loss=0.3395, val_loss=0.2898
[Seed=245] Epoch 6/40 => train_loss=0.3156, val_loss=0.2891
[Seed=245] Epoch 7/40 => train_loss=0.3060, val_loss=0.2884
[Seed=245] Epoch 8/40 => train_loss=0.3023, val_loss=0.2884
